"Incident Date",State,"City Or County",Address,"# Killed","# Injured",Operations
"May 14, 2018",Maryland,Baltimore,"2020 Etting Street",0,4,N/A
"May 13, 2018",Mississippi,Byhalia,"French Rd and Berta Rd",0,4,N/A
"May 13, 2018",California,Stockton,"2436 Belleview Street",3,2,N/A
"May 13, 2018",California,"Los Angeles","365 W Manchester Avenue",2,2,N/A
"May 12, 2018",Nebraska,Omaha,"3201 Decatur St",0,6,N/A
"May 12, 2018","New Jersey",Paulsboro,"275 W Buck St",0,4,N/A
"May 11, 2018",Missouri,"Saint Louis","4800 block of Farlin Ave",0,4,N/A
"May 11, 2018",Oklahoma,Talihina,"2nd St and Dallas St",1,4,N/A
"May 9, 2018",Nebraska,Omaha,"Sahler St and N 48th St",0,4,N/A
"May 9, 2018",Missouri,"Saint Louis","5200 block of Minerva Avenue",0,4,N/A
"May 7, 2018",California,"San Diego","15th St and J St",0,5,N/A
"May 6, 2018",Oklahoma,Stillwater,"2020 East Lakeview Road",0,4,N/A
"May 6, 2018",Tennessee,Memphis,"499 North Watkins",2,4,N/A
"May 5, 2018",Georgia,Columbus,"4944 Sentry Street",0,5,N/A
"May 4, 2018","North Carolina",Henderson,"519 Hilliard St",0,4,N/A
"May 4, 2018",Illinois,"Chicago Heights","200 block of E 23rd St",0,4,N/A
"May 2, 2018",Illinois,Chicago,"3500 block of W Grenshaw St",1,4,N/A
"May 2, 2018",Minnesota,Minneapolis,"2400 block of Ogema Place",0,6,N/A
"May 2, 2018","New York",Brooklyn,"Bristol St",1,4,N/A
"May 1, 2018",Louisiana,"New Orleans","3200 block of Saint Claude Ave",0,5,N/A
"April 30, 2018",Florida,"Pompano Beach","4251 N Dixie Hwy",0,4,N/A
"April 30, 2018","District of Columbia",Washington,"3600 block of New York Ave NE",0,4,N/A
"April 29, 2018",Tennessee,Wartburg,"519 South Kingston St",0,4,N/A
"April 29, 2018",Washington,"Seattle (Skyway)","12603 Renton Ave S",2,2,N/A
"April 29, 2018","North Carolina",Monroe,"1500 block of Massey St",1,3,N/A
"April 29, 2018",Florida,"West Palm Beach","1969 S Military Trail",1,3,N/A
"April 28, 2018","North Carolina",Maxton,"Modest Rd",0,5,N/A
"April 25, 2018",Arkansas,"Pine Bluff","300 block of West 24th Street",0,4,N/A
"April 25, 2018",Missouri,"Saint Louis (Spanish Lake)","1151 Northdale Drive",3,1,N/A
"April 24, 2018",Michigan,Flint,"2200 block of Ave A",0,4,N/A
"April 22, 2018",Tennessee,Antioch,"3571 Murfreesboro Pike",4,3,N/A
"April 22, 2018",Louisiana,"New Orleans","1900 block of St Roch Ave",1,5,N/A
"April 21, 2018",Pennsylvania,Philadelphia,"1800 block of W Diamond St",2,2,N/A
"April 20, 2018",California,"San Francisco","3rd Street and Quesada Ave",1,5,N/A
"April 18, 2018","North Carolina",Asheville,"73 Hansel Ave",4,3,N/A
"April 15, 2018",Louisiana,Shreveport,"6956 Jewella Ave",0,6,N/A
"April 9, 2018",California,Vallejo,"201 Maine St",0,4,N/A
"April 8, 2018","North Carolina",Hickory,"247 1st Ave NW",1,3,N/A
"April 8, 2018",Florida,Miami,"1300 block of NW 63rd Terrace",2,2,N/A
"April 6, 2018",Florida,Jacksonville,"6100 block of Transylvania Ave",0,4,N/A
"April 6, 2018",Virginia,"Virginia Beach","5800 block of Pickering St",1,3,N/A
"April 4, 2018",Louisiana,"New Orleans","3300 Garden Oaks Drive",2,2,N/A
"April 2, 2018",Texas,Houston,"8500 block of Redcliff Rd",1,3,N/A
"April 1, 2018",Alabama,Mobile,"3556 Halls Mill Rd",1,4,N/A
"April 1, 2018",Michigan,Saginaw,"600 block of Yale St",0,5,N/A
"March 31, 2018","New Jersey","Asbury Park","Atlantic Ave and Monmouth Ave",0,5,N/A
"March 29, 2018",Texas,Plano,"7401 Alma Dr",1,3,N/A
"March 29, 2018","New Jersey",Camden,"Kaighn Ave and Haddon Ave",0,4,N/A
"March 24, 2018",Utah,"Salt Lake City (West Valley City)","3180 South 5600 West",0,4,N/A
"March 21, 2018",California,"San Francisco","949 Geneva Ave",1,5,N/A
"March 17, 2018",Kentucky,Louisville,"2928 W Kentucky St",0,7,N/A
"March 17, 2018",Illinois,Harvey,"16700 S Halsted St",0,4,N/A
"March 13, 2018",Florida,Macclenny,"South Blvd",0,4,N/A
"March 12, 2018",California,Modesto,"2000 block of Robertson Rd",0,4,N/A
"March 11, 2018",Illinois,Champaign,"700 block of N Hickory St",1,3,N/A
"March 11, 2018",Indiana,"South Bend","800 block of E Dayton St",0,6,N/A
"March 11, 2018",Michigan,Saginaw,"Cumberland Ave and Hess St",0,5,N/A
"March 9, 2018","North Carolina",Wadesboro,"1300 E Caswell St",3,1,N/A
"March 7, 2018",Alabama,Hurtsboro,"531 Main Street",2,2,N/A
"March 4, 2018",Illinois,Rockford,"400 Howard Ave",1,4,N/A
"March 3, 2018",Florida,Miami,"1300 Block of NW 62nd Ln",0,4,N/A
"March 3, 2018","New York",Brooklyn,"Kings Highway and Utica Avenue",1,3,N/A
"February 27, 2018",Connecticut,Bridgeport,"1306 Stratford Ave",0,4,N/A
"February 26, 2018",Michigan,Detroit,"22000 block of Fenkell Ave",5,0,N/A
"February 23, 2018",Florida,"Palm Beach Gardens (Riviera Beach)","W 23rd St",1,3,N/A
"February 18, 2018",Texas,"San Antonio","2893 Cinema Ridge",0,5,N/A
"February 17, 2018",Kansas,"Kansas City","1615 Minnesota",1,7,N/A
